Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
1;22.5.2014 14:02:32;00:00:01;22.5.2014 14:02:32;0,000;VAC;0,000;VAC;22.5.2014 14:02:32;0,000;VAC;;22.5.2014 14:02:33
2;22.5.2014 14:02:33;00:00:01;22.5.2014 14:02:33;0,000;VAC;0,000;VAC;22.5.2014 14:02:33;0,000;VAC;;22.5.2014 14:02:34
3;22.5.2014 14:02:34;00:00:01;22.5.2014 14:02:34;0,000;VAC;0,000;VAC;22.5.2014 14:02:34;0,000;VAC;;22.5.2014 14:02:35
4;22.5.2014 14:02:35;00:00:01;22.5.2014 14:02:35;0,000;VAC;0,000;VAC;22.5.2014 14:02:35;0,000;VAC;;22.5.2014 14:02:36
5;22.5.2014 14:02:36;00:00:01;22.5.2014 14:02:36;0,000;VAC;0,000;VAC;22.5.2014 14:02:36;0,000;VAC;;22.5.2014 14:02:37
6;22.5.2014 14:02:37;00:00:01;22.5.2014 14:02:37;0,000;VAC;0,000;VAC;22.5.2014 14:02:37;0,000;VAC;;22.5.2014 14:02:38
7;22.5.2014 14:02:38;00:00:01;22.5.2014 14:02:38;0,000;VAC;0,000;VAC;22.5.2014 14:02:38;0,000;VAC;;22.5.2014 14:02:39
8;22.5.2014 14:02:39;00:00:01;22.5.2014 14:02:39;0,000;VAC;0,000;VAC;22.5.2014 14:02:39;0,000;VAC;;22.5.2014 14:02:40
9;22.5.2014 14:02:40;00:00:01;22.5.2014 14:02:40;0,000;VAC;0,000;VAC;22.5.2014 14:02:40;0,000;VAC;;22.5.2014 14:02:41
10;22.5.2014 14:02:41;00:00:01;22.5.2014 14:02:41;0,000;VAC;0,000;VAC;22.5.2014 14:02:41;0,000;VAC;;22.5.2014 14:02:42
11;22.5.2014 14:02:42;00:00:01;22.5.2014 14:02:42;0,000;VAC;0,000;VAC;22.5.2014 14:02:42;0,000;VAC;;22.5.2014 14:02:43
12;22.5.2014 14:02:43;00:00:01;22.5.2014 14:02:43;0,000;VAC;0,000;VAC;22.5.2014 14:02:43;0,000;VAC;;22.5.2014 14:02:44
13;22.5.2014 14:02:44;00:00:01;22.5.2014 14:02:44;0,000;VAC;0,000;VAC;22.5.2014 14:02:44;0,000;VAC;;22.5.2014 14:02:45
14;22.5.2014 14:02:45;00:00:01;22.5.2014 14:02:45;0,000;VAC;0,000;VAC;22.5.2014 14:02:45;0,000;VAC;;22.5.2014 14:02:46
15;22.5.2014 14:02:46;00:00:01;22.5.2014 14:02:46;0,000;VAC;0,000;VAC;22.5.2014 14:02:46;0,000;VAC;;22.5.2014 14:02:47
16;22.5.2014 14:02:47;00:00:01;22.5.2014 14:02:47;0,000;VAC;0,000;VAC;22.5.2014 14:02:47;0,000;VAC;;22.5.2014 14:02:48
17;22.5.2014 14:02:48;00:00:01;22.5.2014 14:02:48;0,000;VAC;0,000;VAC;22.5.2014 14:02:48;0,000;VAC;;22.5.2014 14:02:49
18;22.5.2014 14:02:49;00:00:01;22.5.2014 14:02:49;0,000;VAC;0,000;VAC;22.5.2014 14:02:49;0,000;VAC;;22.5.2014 14:02:50
19;22.5.2014 14:02:50;00:00:01;22.5.2014 14:02:50;0,000;VAC;0,000;VAC;22.5.2014 14:02:50;0,000;VAC;;22.5.2014 14:02:51
20;22.5.2014 14:02:51;00:00:01;22.5.2014 14:02:51;0,000;VAC;0,000;VAC;22.5.2014 14:02:51;0,000;VAC;;22.5.2014 14:02:52
21;22.5.2014 14:02:52;00:00:01;22.5.2014 14:02:52;0,000;VAC;0,000;VAC;22.5.2014 14:02:52;0,000;VAC;;22.5.2014 14:02:53
22;22.5.2014 14:02:53;00:00:01;22.5.2014 14:02:53;0,000;VAC;0,000;VAC;22.5.2014 14:02:53;0,000;VAC;;22.5.2014 14:02:54
23;22.5.2014 14:02:54;00:00:01;22.5.2014 14:02:54;0,000;VAC;0,000;VAC;22.5.2014 14:02:54;0,000;VAC;;22.5.2014 14:02:55
24;22.5.2014 14:02:55;00:00:01;22.5.2014 14:02:55;0,000;VAC;0,000;VAC;22.5.2014 14:02:55;0,000;VAC;;22.5.2014 14:02:56
25;22.5.2014 14:02:56;00:00:01;22.5.2014 14:02:56;0,000;VAC;0,000;VAC;22.5.2014 14:02:56;0,000;VAC;;22.5.2014 14:02:57
