Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
1;22.5.2014 14:02:25;00:00:01;22.5.2014 14:02:25;0,2;AAC;0,2;AAC;22.5.2014 14:02:26;0,2;AAC;;22.5.2014 14:02:26
2;22.5.2014 14:02:26;00:00:01;22.5.2014 14:02:26;0,2;AAC;0,1;AAC;22.5.2014 14:02:27;0,0;AAC;;22.5.2014 14:02:27
3;22.5.2014 14:02:27;00:00:01;22.5.2014 14:02:27;0,1;AAC;0,1;AAC;22.5.2014 14:02:27;0,0;AAC;;22.5.2014 14:02:28
4;22.5.2014 14:02:28;00:00:01;22.5.2014 14:02:28;0,1;AAC;0,1;AAC;22.5.2014 14:02:28;0,1;AAC;;22.5.2014 14:02:29
5;22.5.2014 14:02:29;00:00:01;22.5.2014 14:02:29;0,1;AAC;0,1;AAC;22.5.2014 14:02:29;0,0;AAC;;22.5.2014 14:02:30
6;22.5.2014 14:02:30;00:00:01;22.5.2014 14:02:30;0,1;AAC;0,1;AAC;22.5.2014 14:02:30;0,0;AAC;;22.5.2014 14:02:31
7;22.5.2014 14:02:31;00:00:01;22.5.2014 14:02:31;0,1;AAC;0,1;AAC;22.5.2014 14:02:31;0,0;AAC;;22.5.2014 14:02:32
8;22.5.2014 14:02:32;00:00:01;22.5.2014 14:02:33;0,1;AAC;0,1;AAC;22.5.2014 14:02:32;0,0;AAC;;22.5.2014 14:02:33
9;22.5.2014 14:02:33;00:00:01;22.5.2014 14:02:33;0,1;AAC;0,1;AAC;22.5.2014 14:02:33;0,0;AAC;;22.5.2014 14:02:34
10;22.5.2014 14:02:34;00:00:01;22.5.2014 14:02:34;0,1;AAC;0,1;AAC;22.5.2014 14:02:35;0,0;AAC;;22.5.2014 14:02:35
11;22.5.2014 14:02:35;00:00:01;22.5.2014 14:02:35;0,1;AAC;0,1;AAC;22.5.2014 14:02:35;0,0;AAC;;22.5.2014 14:02:36
12;22.5.2014 14:02:36;00:00:01;22.5.2014 14:02:36;0,1;AAC;0,1;AAC;22.5.2014 14:02:36;0,1;AAC;;22.5.2014 14:02:37
13;22.5.2014 14:02:37;00:00:01;22.5.2014 14:02:37;0,1;AAC;0,1;AAC;22.5.2014 14:02:37;0,0;AAC;;22.5.2014 14:02:38
14;22.5.2014 14:02:38;00:00:01;22.5.2014 14:02:38;0,1;AAC;0,1;AAC;22.5.2014 14:02:38;0,0;AAC;;22.5.2014 14:02:39
15;22.5.2014 14:02:39;00:00:01;22.5.2014 14:02:39;0,1;AAC;0,1;AAC;22.5.2014 14:02:39;0,0;AAC;;22.5.2014 14:02:40
16;22.5.2014 14:02:40;00:00:01;22.5.2014 14:02:40;0,1;AAC;0,1;AAC;22.5.2014 14:02:41;0,0;AAC;;22.5.2014 14:02:41
17;22.5.2014 14:02:41;00:00:01;22.5.2014 14:02:41;0,1;AAC;0,1;AAC;22.5.2014 14:02:41;0,0;AAC;;22.5.2014 14:02:42
18;22.5.2014 14:02:42;00:00:01;22.5.2014 14:02:42;0,2;AAC;0,1;AAC;22.5.2014 14:02:43;0,1;AAC;;22.5.2014 14:02:43
19;22.5.2014 14:02:43;00:00:01;22.5.2014 14:02:43;0,1;AAC;0,1;AAC;22.5.2014 14:02:43;0,1;AAC;;22.5.2014 14:02:44
