Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
1;22.5.2014 14:02:36;00:00:01;22.5.2014 14:02:36;416,3;VAC;416,2;VAC;22.5.2014 14:02:36;416,1;VAC;;22.5.2014 14:02:37
2;22.5.2014 14:02:37;00:00:01;22.5.2014 14:02:37;416,5;VAC;416,4;VAC;22.5.2014 14:02:37;416,3;VAC;;22.5.2014 14:02:38
3;22.5.2014 14:02:38;00:00:01;22.5.2014 14:02:38;416,5;VAC;416,2;VAC;22.5.2014 14:02:38;416,0;VAC;;22.5.2014 14:02:39
4;22.5.2014 14:02:39;00:00:01;22.5.2014 14:02:39;416,3;VAC;416,1;VAC;22.5.2014 14:02:39;416,0;VAC;;22.5.2014 14:02:40
5;22.5.2014 14:02:40;00:00:01;22.5.2014 14:02:40;416,3;VAC;416,2;VAC;22.5.2014 14:02:40;416,1;VAC;;22.5.2014 14:02:41
6;22.5.2014 14:02:41;00:00:01;22.5.2014 14:02:41;416,1;VAC;416,0;VAC;22.5.2014 14:02:41;415,9;VAC;;22.5.2014 14:02:42
7;22.5.2014 14:02:42;00:00:01;22.5.2014 14:02:42;416,1;VAC;415,9;VAC;22.5.2014 14:02:42;415,7;VAC;;22.5.2014 14:02:43
8;22.5.2014 14:02:43;00:00:01;22.5.2014 14:02:43;416,0;VAC;415,9;VAC;22.5.2014 14:02:43;415,7;VAC;;22.5.2014 14:02:44
9;22.5.2014 14:02:44;00:00:01;22.5.2014 14:02:44;416,0;VAC;415,9;VAC;22.5.2014 14:02:44;415,8;VAC;;22.5.2014 14:02:45
10;22.5.2014 14:02:45;00:00:01;22.5.2014 14:02:45;416,0;VAC;415,9;VAC;22.5.2014 14:02:45;415,7;VAC;;22.5.2014 14:02:46
11;22.5.2014 14:02:46;00:00:01;22.5.2014 14:02:46;416,1;VAC;415,9;VAC;22.5.2014 14:02:46;415,7;VAC;;22.5.2014 14:02:47
12;22.5.2014 14:02:47;00:00:01;22.5.2014 14:02:47;416,2;VAC;416,0;VAC;22.5.2014 14:02:47;415,9;VAC;;22.5.2014 14:02:48
13;22.5.2014 14:02:48;00:00:01;22.5.2014 14:02:48;416,1;VAC;416,0;VAC;22.5.2014 14:02:49;415,8;VAC;;22.5.2014 14:02:49
14;22.5.2014 14:02:49;00:00:01;22.5.2014 14:02:49;416,0;VAC;415,8;VAC;22.5.2014 14:02:49;415,7;VAC;;22.5.2014 14:02:50
15;22.5.2014 14:02:50;00:00:01;22.5.2014 14:02:50;415,8;VAC;415,8;VAC;22.5.2014 14:02:50;415,7;VAC;;22.5.2014 14:02:51
16;22.5.2014 14:02:51;00:00:01;22.5.2014 14:02:51;416,0;VAC;415,9;VAC;22.5.2014 14:02:51;415,7;VAC;;22.5.2014 14:02:52
17;22.5.2014 14:02:52;00:00:01;22.5.2014 14:02:52;416,2;VAC;416,1;VAC;22.5.2014 14:02:52;415,9;VAC;;22.5.2014 14:02:53
18;22.5.2014 14:02:53;00:00:01;22.5.2014 14:02:53;416,1;VAC;415,9;VAC;22.5.2014 14:02:53;415,8;VAC;;22.5.2014 14:02:54
19;22.5.2014 14:02:54;00:00:01;22.5.2014 14:02:54;416,0;VAC;415,9;VAC;22.5.2014 14:02:54;415,8;VAC;;22.5.2014 14:02:55
20;22.5.2014 14:02:55;00:00:01;22.5.2014 14:02:55;416,1;VAC;415,9;VAC;22.5.2014 14:02:55;415,8;VAC;;22.5.2014 14:02:56
21;22.5.2014 14:02:56;00:00:01;22.5.2014 14:02:56;416,0;VAC;415,9;VAC;22.5.2014 14:02:56;415,8;VAC;;22.5.2014 14:02:57
22;22.5.2014 14:02:57;00:00:01;22.5.2014 14:02:57;416,0;VAC;415,9;VAC;22.5.2014 14:02:57;415,9;VAC;;22.5.2014 14:02:58
23;22.5.2014 14:02:58;00:00:01;22.5.2014 14:02:58;415,9;VAC;415,7;VAC;22.5.2014 14:02:58;415,6;VAC;;22.5.2014 14:02:59
24;22.5.2014 14:02:59;00:00:01;22.5.2014 14:03:00;415,9;VAC;415,7;VAC;22.5.2014 14:02:59;415,5;VAC;;22.5.2014 14:03:00
25;22.5.2014 14:03:00;00:00:01;22.5.2014 14:03:00;416,0;VAC;415,9;VAC;22.5.2014 14:03:00;415,9;VAC;;22.5.2014 14:03:01
26;22.5.2014 14:03:01;00:00:01;22.5.2014 14:03:02;416,1;VAC;415,9;VAC;22.5.2014 14:03:01;415,7;VAC;;22.5.2014 14:03:02
27;22.5.2014 14:03:02;00:00:01;22.5.2014 14:03:02;416,1;VAC;416,0;VAC;22.5.2014 14:03:02;416,0;VAC;;22.5.2014 14:03:03
28;22.5.2014 14:03:03;00:00:01;22.5.2014 14:03:03;416,0;VAC;415,9;VAC;22.5.2014 14:03:04;415,6;VAC;;22.5.2014 14:03:04
29;22.5.2014 14:03:04;00:00:01;22.5.2014 14:03:04;416,0;VAC;415,9;VAC;22.5.2014 14:03:04;415,7;VAC;;22.5.2014 14:03:05
30;22.5.2014 14:03:05;00:00:01;22.5.2014 14:03:05;416,2;VAC;416,1;VAC;22.5.2014 14:03:05;415,9;VAC;;22.5.2014 14:03:06
31;22.5.2014 14:03:06;00:00:01;22.5.2014 14:03:06;416,2;VAC;415,9;VAC;22.5.2014 14:03:07;415,5;VAC;;22.5.2014 14:03:07
32;22.5.2014 14:03:07;00:00:01;22.5.2014 14:03:07;415,9;VAC;415,8;VAC;22.5.2014 14:03:08;415,6;VAC;;22.5.2014 14:03:08
33;22.5.2014 14:03:08;00:00:01;22.5.2014 14:03:08;415,9;VAC;415,8;VAC;22.5.2014 14:03:08;415,7;VAC;;22.5.2014 14:03:09
34;22.5.2014 14:03:09;00:00:01;22.5.2014 14:03:09;415,8;VAC;415,7;VAC;22.5.2014 14:03:09;415,6;VAC;;22.5.2014 14:03:10
35;22.5.2014 14:03:10;00:00:01;22.5.2014 14:03:10;416,1;VAC;415,9;VAC;22.5.2014 14:03:11;415,7;VAC;;22.5.2014 14:03:11
36;22.5.2014 14:03:11;00:00:01;22.5.2014 14:03:11;415,9;VAC;415,8;VAC;22.5.2014 14:03:11;415,6;VAC;;22.5.2014 14:03:12
37;22.5.2014 14:03:12;00:00:01;22.5.2014 14:03:12;416,0;VAC;415,8;VAC;22.5.2014 14:03:12;415,6;VAC;;22.5.2014 14:03:13
38;22.5.2014 14:03:13;00:00:01;22.5.2014 14:03:13;416,2;VAC;416,1;VAC;22.5.2014 14:03:13;415,8;VAC;;22.5.2014 14:03:14
39;22.5.2014 14:03:14;00:00:01;22.5.2014 14:03:14;416,2;VAC;416,1;VAC;22.5.2014 14:03:14;416,0;VAC;;22.5.2014 14:03:15
40;22.5.2014 14:03:15;00:00:01;22.5.2014 14:03:15;416,2;VAC;416,1;VAC;22.5.2014 14:03:15;415,9;VAC;;22.5.2014 14:03:16
41;22.5.2014 14:03:16;00:00:01;22.5.2014 14:03:16;416,3;VAC;416,2;VAC;22.5.2014 14:03:16;416,1;VAC;;22.5.2014 14:03:17
42;22.5.2014 14:03:17;00:00:01;22.5.2014 14:03:17;416,2;VAC;416,1;VAC;22.5.2014 14:03:17;416,0;VAC;;22.5.2014 14:03:18
43;22.5.2014 14:03:18;00:00:01;22.5.2014 14:03:18;416,0;VAC;415,9;VAC;22.5.2014 14:03:18;415,8;VAC;;22.5.2014 14:03:19
44;22.5.2014 14:03:19;00:00:01;22.5.2014 14:03:19;416,1;VAC;415,9;VAC;22.5.2014 14:03:19;415,8;VAC;;22.5.2014 14:03:20
45;22.5.2014 14:03:20;00:00:01;22.5.2014 14:03:20;415,9;VAC;415,7;VAC;22.5.2014 14:03:20;415,5;VAC;;22.5.2014 14:03:21
46;22.5.2014 14:03:21;00:00:01;22.5.2014 14:03:21;416,0;VAC;415,9;VAC;22.5.2014 14:03:21;415,7;VAC;;22.5.2014 14:03:22
47;22.5.2014 14:03:22;00:00:01;22.5.2014 14:03:22;416,7;VAC;416,5;VAC;22.5.2014 14:03:22;416,2;VAC;;22.5.2014 14:03:23
48;22.5.2014 14:03:23;00:00:01;22.5.2014 14:03:23;416,7;VAC;416,6;VAC;22.5.2014 14:03:23;416,4;VAC;;22.5.2014 14:03:24
49;22.5.2014 14:03:24;00:00:01;22.5.2014 14:03:24;416,9;VAC;416,8;VAC;22.5.2014 14:03:24;416,5;VAC;;22.5.2014 14:03:25
50;22.5.2014 14:03:25;00:00:01;22.5.2014 14:03:25;416,8;VAC;416,7;VAC;22.5.2014 14:03:25;416,6;VAC;;22.5.2014 14:03:26
51;22.5.2014 14:03:26;00:00:01;22.5.2014 14:03:26;417,1;VAC;416,9;VAC;22.5.2014 14:03:26;416,7;VAC;;22.5.2014 14:03:27
52;22.5.2014 14:03:27;00:00:01;22.5.2014 14:03:27;417,0;VAC;417,0;VAC;22.5.2014 14:03:28;416,8;VAC;;22.5.2014 14:03:28
53;22.5.2014 14:03:28;00:00:01;22.5.2014 14:03:28;416,9;VAC;416,8;VAC;22.5.2014 14:03:28;416,7;VAC;;22.5.2014 14:03:29
54;22.5.2014 14:03:29;00:00:01;22.5.2014 14:03:29;417,2;VAC;417,0;VAC;22.5.2014 14:03:29;416,7;VAC;;22.5.2014 14:03:30
55;22.5.2014 14:03:30;00:00:01;22.5.2014 14:03:30;417,2;VAC;417,1;VAC;22.5.2014 14:03:30;417,0;VAC;;22.5.2014 14:03:31
56;22.5.2014 14:03:31;00:00:01;22.5.2014 14:03:31;417,0;VAC;416,9;VAC;22.5.2014 14:03:31;416,8;VAC;;22.5.2014 14:03:32
57;22.5.2014 14:03:32;00:00:01;22.5.2014 14:03:33;417,0;VAC;416,8;VAC;22.5.2014 14:03:32;416,7;VAC;;22.5.2014 14:03:33
58;22.5.2014 14:03:33;00:00:01;22.5.2014 14:03:33;417,0;VAC;416,8;VAC;22.5.2014 14:03:33;416,7;VAC;;22.5.2014 14:03:34
59;22.5.2014 14:03:34;00:00:01;22.5.2014 14:03:34;416,9;VAC;416,8;VAC;22.5.2014 14:03:34;416,7;VAC;;22.5.2014 14:03:35
60;22.5.2014 14:03:35;00:00:01;22.5.2014 14:03:35;416,8;VAC;416,7;VAC;22.5.2014 14:03:35;416,4;VAC;;22.5.2014 14:03:36
61;22.5.2014 14:03:36;00:00:01;22.5.2014 14:03:37;417,2;VAC;417,0;VAC;22.5.2014 14:03:36;416,9;VAC;;22.5.2014 14:03:37
62;22.5.2014 14:03:37;00:00:01;22.5.2014 14:03:37;417,2;VAC;417,1;VAC;22.5.2014 14:03:37;417,1;VAC;;22.5.2014 14:03:38
63;22.5.2014 14:03:38;00:00:01;22.5.2014 14:03:38;417,5;VAC;417,4;VAC;22.5.2014 14:03:38;417,3;VAC;;22.5.2014 14:03:39
64;22.5.2014 14:03:39;00:00:01;22.5.2014 14:03:39;417,4;VAC;417,2;VAC;22.5.2014 14:03:39;417,1;VAC;;22.5.2014 14:03:40
65;22.5.2014 14:03:40;00:00:01;22.5.2014 14:03:40;417,4;VAC;417,3;VAC;22.5.2014 14:03:40;417,1;VAC;;22.5.2014 14:03:41
66;22.5.2014 14:03:41;00:00:01;22.5.2014 14:03:41;417,3;VAC;417,2;VAC;22.5.2014 14:03:41;417,1;VAC;;22.5.2014 14:03:42
67;22.5.2014 14:03:42;00:00:01;22.5.2014 14:03:42;417,5;VAC;417,4;VAC;22.5.2014 14:03:42;417,3;VAC;;22.5.2014 14:03:43
68;22.5.2014 14:03:43;00:00:01;22.5.2014 14:03:43;417,6;VAC;417,5;VAC;22.5.2014 14:03:43;417,4;VAC;;22.5.2014 14:03:44
69;22.5.2014 14:03:44;00:00:01;22.5.2014 14:03:44;417,6;VAC;417,3;VAC;22.5.2014 14:03:44;417,1;VAC;;22.5.2014 14:03:45
70;22.5.2014 14:03:45;00:00:01;22.5.2014 14:03:45;417,1;VAC;417,0;VAC;22.5.2014 14:03:45;417,0;VAC;;22.5.2014 14:03:46
71;22.5.2014 14:03:46;00:00:01;22.5.2014 14:03:46;417,2;VAC;417,0;VAC;22.5.2014 14:03:46;416,8;VAC;;22.5.2014 14:03:47
72;22.5.2014 14:03:47;00:00:01;22.5.2014 14:03:47;417,0;VAC;416,7;VAC;22.5.2014 14:03:47;416,5;VAC;;22.5.2014 14:03:48
73;22.5.2014 14:03:48;00:00:01;22.5.2014 14:03:48;417,0;VAC;416,8;VAC;22.5.2014 14:03:48;416,6;VAC;;22.5.2014 14:03:49
